Ligand Type,ROC-AUC Score,Average Precision,F1-score,MCC,Precision,Recall,Method
CA,0.7699894034665098,0.2971146808370478,0.5377215189873418,0.5294765264101677,0.5271779597915115,0.5486954275381039,M-Ionic (ESM-2)
CO,0.6316236783905325,0.22317468778367844,0.3973509933774834,0.45551734362733515,0.8,0.2643171806167401,M-Ionic (ESM-2)
CU,0.9147014489033756,0.5948960834233389,0.7670485542825968,0.7656056163451672,0.7093844601412714,0.834916864608076,M-Ionic (ESM-2)
FE,0.9278626951166368,0.6533635989825164,0.8046676813800101,0.8018905368317342,0.7545195052331113,0.8619565217391304,M-Ionic (ESM-2)
FE2,0.8444514760544497,0.5559743852234135,0.7407407407407407,0.7391253641438165,0.7975460122699386,0.6914893617021277,M-Ionic (ESM-2)
MG,0.7140885438018555,0.21586043687324194,0.4565027131104498,0.4507716729445188,0.4815361890694239,0.43394342762063226,M-Ionic (ESM-2)
MN,0.8617162795083434,0.5708970932963389,0.752607425949103,0.7498212203037101,0.780952380952381,0.7262479871175523,M-Ionic (ESM-2)
PO4,0.6691827261125157,0.16243815829362615,0.38520130576713824,0.3771283500338296,0.43276283618581907,0.34705882352941175,M-Ionic (ESM-2)
SO4,0.6247539864729037,0.1476807141316764,0.3427109974424552,0.35799154674259603,0.5275590551181102,0.2537878787878788,M-Ionic (ESM-2)
ZN,0.9322724699592515,0.6446333661311595,0.799056158565361,0.7984436004608246,0.7393886462882097,0.8691991786447638,M-Ionic (ESM-2)
CA,0.49878934624697335,0.004819277108433735,0.0,-0.0034201078506974404,0.0,0.0,M-Ionic (ProtT5-XL)
CO,0.995774647887324,0.4,0.5714285714285715,0.6297775149287715,0.4,1.0,M-Ionic (ProtT5-XL)
CU,0.8721014492753623,0.45286532951289393,0.6666666666666665,0.6666020991651557,0.6,0.75,M-Ionic (ProtT5-XL)
FE,0.665266106442577,0.23324150596877868,0.4444444444444444,0.46549138385896505,0.6666666666666666,0.3333333333333333,M-Ionic (ProtT5-XL)
FE2,0.9934210526315789,0.8888888888888888,0.9411764705882353,0.9365858115816941,0.8888888888888888,1.0,M-Ionic (ProtT5-XL)
MG,0.7,0.40952380952380957,0.5714285714285715,0.6294172973356417,1.0,0.4,M-Ionic (ProtT5-XL)
MN,0.7424242424242424,0.2647058823529412,0.5,0.48484848484848486,0.5,0.5,M-Ionic (ProtT5-XL)
PO4,0.5,0.0045662100456621,0.0,0.0,0.0,0.0,M-Ionic (ProtT5-XL)
SO4,0.5,0.020202020202020204,0.0,0.0,0.0,0.0,M-Ionic (ProtT5-XL)
ZN,0.5974226804123711,0.14977667493796526,0.3,0.33321536878964175,0.6,0.2,M-Ionic (ProtT5-XL)
CA,0.7069222153548144,0.12585908834467538,0.3306823760432008,0.32586477913327333,0.2667089008552423,0.43502970808576596,M-Ionic (ESM-MSA-1b)
CO,0.5262534140890615,0.05240520384543363,0.09836065573770493,0.19044783392597334,0.7058823529411765,0.05286343612334802,M-Ionic (ESM-MSA-1b)
CU,0.8903077121635476,0.46243279001977206,0.6696878147029204,0.6716443295902224,0.5812937062937062,0.7897862232779097,M-Ionic (ESM-MSA-1b)
FE,0.6904108015730088,0.30035516247490096,0.507183908045977,0.5288196557110262,0.7478813559322034,0.38369565217391305,M-Ionic (ESM-MSA-1b)
FE2,0.897133521102334,0.6135516299274295,0.7812500000000001,0.7781326292130127,0.7653061224489796,0.7978723404255319,M-Ionic (ESM-MSA-1b)
MG,0.6610883227029216,0.15020669666205616,0.3731513083048919,0.37020615969418114,0.43367122080211545,0.3274542429284526,M-Ionic (ESM-MSA-1b)
MN,0.7959739017970334,0.4391611528447977,0.6551418439716312,0.6542970775593226,0.7287968441814595,0.5950080515297906,M-Ionic (ESM-MSA-1b)
PO4,0.5904205763693419,0.08899269605379871,0.25333333333333335,0.2622954955238926,0.3958333333333333,0.18627450980392157,M-Ionic (ESM-MSA-1b)
SO4,0.5483864430740099,0.0678752872136615,0.16560509554140126,0.22068913278225666,0.52,0.09848484848484848,M-Ionic (ESM-MSA-1b)
ZN,0.9100406868741192,0.5901686434791763,0.764442752450747,0.762732904094166,0.7120567375886525,0.8251489623998356,M-Ionic (ESM-MSA-1b)
CA,0.5159384938534642,0.02084999445234919,0.05544466622310933,0.053388559037169526,0.10638297872340426,0.03749250149970006,DSSP
CO,0.5,0.016239186522992867,0.0,0.0,0.0,0.0,DSSP
CU,0.5,0.015699175480969434,0.0,0.0,0.0,0.0,DSSP
FE,0.5,0.021808605834377316,0.0,0.0,0.0,0.0,DSSP
FE2,0.5,0.014816885658372938,0.0,0.0,0.0,0.0,DSSP
MG,0.5038056774934905,0.013284648410214353,0.015663937344250624,0.02875003692019684,0.12087912087912088,0.008374571754853444,DSSP
MN,0.5,0.01348177559785641,0.0,0.0,0.0,0.0,DSSP
PO4,0.5,0.019218817230004303,0.0,0.0,0.0,0.0,DSSP
SO4,0.5,0.01791067722346068,0.0,0.0,0.0,0.0,DSSP
ZN,0.5174054067092372,0.021058194643339585,0.062135112593828194,0.0781648729006242,0.1895674300254453,0.0371571072319202,DSSP
CA,0.7092518399337535,0.178641159423151,0.4102344196683819,0.3996724001351922,0.3918623702894593,0.4304139172165567,ESM2+DSSP
CO,0.5184987470695268,0.0386371464804367,0.07048458149779735,0.14895894920949465,0.6153846153846154,0.037383177570093455,ESM2+DSSP
CU,0.8499695437703937,0.3663900898636943,0.5932484781405645,0.5941683516490446,0.5090218423551757,0.7108753315649867,ESM2+DSSP
FE,0.8040055577038453,0.483116403187567,0.6841415465268676,0.6829034326949633,0.7756315007429421,0.611957796014068,ESM2+DSSP
FE2,0.8752302272289209,0.5525194076314706,0.7407407407407407,0.7368985061657128,0.7272727272727273,0.7547169811320755,ESM2+DSSP
MG,0.665669275037566,0.15378494140586477,0.3786096256684492,0.3747469591053572,0.43212890625,0.33688618195660447,ESM2+DSSP
MN,0.7899089454556355,0.4498759172272658,0.6604803493449781,0.662615077389826,0.7629255989911727,0.5822906641000962,ESM2+DSSP
PO4,0.6184540373928553,0.11449408173216755,0.3057722308892356,0.30603805608187074,0.4100418410041841,0.24378109452736318,ESM2+DSSP
SO4,0.5604706450667963,0.06445769535815812,0.18892508143322476,0.2132803932303903,0.3918918918918919,0.12446351931330472,ESM2+DSSP
ZN,0.8963296778827026,0.5442949788817644,0.7333333333333333,0.7315708621679579,0.6781779661016949,0.7982543640897756,ESM2+DSSP
CA,0.6814153149126158,0.3078201521294678,0.5035279025016036,0.5401726972240217,0.8151609553478713,0.3642691415313225,LMetalSite
MG,0.6396353020327892,0.21416843292359436,0.4057311803502388,0.44976216667851404,0.7329498767460969,0.28050314465408804,LMetalSite
MN,0.8564995602021296,0.5978142880659486,0.7684521299029946,0.7676137682976182,0.8304466727438469,0.7150706436420722,LMetalSite
ZN,0.8888296479423049,0.6705303378651954,0.8159061277705346,0.8140677787791776,0.8556193601312552,0.7797159232494393,LMetalSite
